date,sentiment,Adj Close,Week_Number,month,year
2017-03-13,0,49.23400115966797,11,3,2017
2017-03-24,1,52.63199996948242,12,3,2017
2017-03-29,3,55.47600173950195,13,3,2017
2017-03-30,0,55.58399963378906,13,3,2017
2017-04-03,2,59.70399856567383,14,4,2017
2017-04-04,1,60.7400016784668,14,4,2017
2017-04-05,1,59.0,14,4,2017
2017-04-06,1,59.7400016784668,14,4,2017
2017-04-10,1,62.47800064086914,15,4,2017
2017-04-11,-1,61.742000579833984,15,4,2017
2017-04-12,1,59.36800003051758,15,4,2017
2017-04-13,2,60.79999923706055,15,4,2017
2017-04-19,1,61.104000091552734,16,4,2017
2017-04-21,1,61.119998931884766,16,4,2017
2017-04-26,1,62.034000396728516,17,4,2017
2017-05-05,-1,61.66999816894531,18,5,2017
2017-05-08,4,61.4379997253418,19,5,2017
2017-05-09,2,64.25199890136719,19,5,2017
2017-05-11,-1,64.62000274658203,19,5,2017
2017-05-17,1,61.22200012207031,20,5,2017
2017-05-18,-1,62.61199951171875,20,5,2017
2017-05-26,-1,65.02799987792969,21,5,2017
2017-05-31,2,68.2020034790039,22,5,2017
2017-06-02,1,67.97000122070312,22,6,2017
2017-06-05,1,69.46399688720703,23,6,2017
2017-06-09,-1,71.46399688720703,23,6,2017
2017-06-12,1,71.802001953125,24,6,2017
2017-06-14,2,76.13200378417969,24,6,2017
2017-06-20,1,74.447998046875,25,6,2017
2017-06-21,1,75.27999877929688,25,6,2017
2017-06-22,1,76.52200317382812,25,6,2017
2017-07-03,5,70.52400207519531,27,7,2017
2017-07-05,2,65.41799926757812,27,7,2017
2017-07-06,3,61.76599884033203,27,7,2017
2017-07-07,1,62.64400100708008,27,7,2017
2017-07-10,10,63.209999084472656,28,7,2017
2017-07-11,0,65.44400024414062,28,7,2017
2017-07-12,0,65.90399932861328,28,7,2017
2017-07-13,1,64.68199920654297,28,7,2017
2017-07-24,2,68.50399780273438,30,7,2017
2017-07-25,2,67.91999816894531,30,7,2017
2017-07-26,2,68.7699966430664,30,7,2017
2017-07-27,2,66.89199829101562,30,7,2017
2017-07-28,2,67.01399993896484,30,7,2017
2017-08-02,0,65.1780014038086,31,8,2017
2017-08-08,1,73.04399871826172,32,8,2017
2017-08-11,1,71.5739974975586,32,8,2017
2017-08-14,1,72.76000213623047,33,8,2017
2017-08-15,1,72.46600341796875,33,8,2017
2017-08-17,1,70.38400268554688,33,8,2017
2017-08-21,-1,67.5719985961914,34,8,2017
2017-08-23,1,70.55400085449219,34,8,2017
2017-08-24,1,70.58599853515625,34,8,2017
2017-08-28,1,69.13200378417969,35,8,2017
2017-08-31,1,71.18000030517578,35,8,2017
2017-09-06,5,68.90599822998047,36,9,2017
2017-09-07,1,70.12200164794922,36,9,2017
2017-09-11,0,72.73799896240234,37,9,2017
2017-09-13,1,73.24600219726562,37,9,2017
2017-09-14,2,75.52799987792969,37,9,2017
2017-09-18,1,77.0,38,9,2017
2017-09-19,1,75.0199966430664,38,9,2017
2017-09-20,1,74.78199768066406,38,9,2017
2017-09-25,3,68.99800109863281,39,9,2017
2017-09-26,1,69.05000305175781,39,9,2017
2017-09-27,2,68.19400024414062,39,9,2017
2017-09-28,1,67.91999816894531,39,9,2017
2017-10-02,0,68.30599975585938,40,10,2017
2017-10-03,1,69.62799835205078,40,10,2017
2017-10-04,1,71.00199890136719,40,10,2017
2017-10-06,1,71.3759994506836,40,10,2017
2017-10-09,0,68.58799743652344,41,10,2017
2017-10-12,1,71.13600158691406,41,10,2017
2017-10-13,1,71.11399841308594,41,10,2017
2017-10-18,1,71.93000030517578,42,10,2017
2017-10-23,0,67.40399932861328,43,10,2017
2017-10-24,1,67.46800231933594,43,10,2017
2017-10-26,2,65.23400115966797,43,10,2017
2017-10-30,-1,64.01599884033203,44,10,2017
2017-11-01,1,64.21600341796875,44,11,2017
2017-11-02,0,59.85200119018555,44,11,2017
2017-11-03,1,61.21799850463867,44,11,2017
2017-11-07,1,61.209999084472656,45,11,2017
2017-11-09,0,60.597999572753906,45,11,2017
2017-11-14,-1,61.7400016784668,46,11,2017
2017-11-15,0,62.2599983215332,46,11,2017
2017-11-17,6,63.0099983215332,46,11,2017
2017-11-24,1,63.11000061035156,47,11,2017
2017-11-27,1,63.36199951171875,48,11,2017
2017-11-28,2,63.5099983215332,48,11,2017
2017-11-29,-1,61.507999420166016,48,11,2017
2017-11-30,-1,61.77000045776367,48,11,2017
2017-12-01,2,61.305999755859375,48,12,2017
2017-12-04,0,61.040000915527344,49,12,2017
