year,sentiment,Adj Close
2012,1,6.233720006942749
2013,10,20.880246050774105
2014,32,44.66581742725675
2015,47,46.00857949635339
2016,76,41.953452466026185
2017,134,62.863258969736286
2018,198,63.46198397328654
2019,287,54.706039686051625
2020,261,289.9970668747491
2021,103,705.5414027163857
